nombre,busqueda,ciudad,direccion,telefono,latitud,longitud,url_actual,hora_extraccion
La Holanda Mascotas,petshop,"Cali, Valle del Cauca","CL 23, Av. 3 Bis Nte. #26, San Vicente, Cali",602) 6606623,3.4176158,-76.5211119,"https://www.google.com/maps/search/petshop+Cali,+Valle+del+Cauca/@3.4176158,-76.5211119,13z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:01
SUPERMASCOTAS sede Ciudad Jardín,petshop,"Cali, Valle del Cauca","Cl. 18 #106A-16, Cañasgordas, Cali, Valle del Cauca",602) 3325757,3.4652167,-76.5970921,"https://www.google.com/maps/place/SUPERMASCOTAS+sede+Ciudad+Jard%C3%ADn/@3.4652167,-76.5970921,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a19ea423877f:0x8e53294f681dda89!8m2!3d3.3608619!4d-76.5311586!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEJcGV0X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJvZW5GRU5YcG5SUkFC4AEA-gEECAAQRg!16s%2Fg%2F1z44bnzvl?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:03
Centro Veterinario Solo Mascotas Cali,petshop,"Cali, Valle del Cauca","Cra. 42a #54-05, Cali, Valle del Cauca",316 7318519,3.4652167,-76.5970921,"https://www.google.com/maps/place/SUPERMASCOTAS+sede+Ciudad+Jard%C3%ADn/@3.4652167,-76.5970921,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a19ea423877f:0x8e53294f681dda89!8m2!3d3.3608619!4d-76.5311586!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEJcGV0X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJvZW5GRU5YcG5SUkFC4AEA-gEECAAQRg!16s%2Fg%2F1z44bnzvl?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:05
OURPETS Pet-Shop,petshop,"Cali, Valle del Cauca","Entre Calle 17N y Calle 16N, Avenida 8 #16N-18, Granada, Cali, Valle del Cauca",26607796,3.3608619,-76.6032564,"https://www.google.com/maps/place/Centro+Veterinario+Solo+Mascotas+Cali/@3.3608619,-76.6032564,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a12a9293ae59:0xf8663b0b12d8b951!8m2!3d3.4020383!4d-76.503754!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF4TUdFemRHMTNSUkFC4AEA-gEECAAQNg!16s%2Fg%2F11b90jzmg3?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:06
CENTRO DE MASCOTAS-Pet Shop - The Pets Center - Tienda Veterinaria,petshop,"Cali, Valle del Cauca","Cl. 27 #34 28, Maracaibo, Cali, Valle del Cauca",319 7194380,3.3608619,-76.6032564,"https://www.google.com/maps/place/OURPETS+Pet-Shop/@3.3608619,-76.6032564,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a66c6bacfd21:0x67d111945d9fab62!8m2!3d3.4598466!4d-76.5327306!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSaWRqVmhiM0IzUlJBQuABAPoBBAgzECs!16s%2Fg%2F1pyqr730r?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:07
Pets & Pets Ciudad Jardín,petshop,"Cali, Valle del Cauca","Av. Cascajal #106 - 74, Ciudad Jardín, Cali, Valle del Cauca",320 8000002,3.4598466,-76.6048284,"https://www.google.com/maps/place/CENTRO+DE+MASCOTAS-Pet+Shop+-+The+Pets+Center+-+Tienda+Veterinaria/@3.4598466,-76.6048284,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a7dceb1821a7:0xcdc5a4e6ea54ca63!8m2!3d3.42182!4d-76.517418!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNmNFd3lkMGxuRUFF4AEA-gEECAAQOQ!16s%2Fg%2F11k4rqxrnl?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:09
SUPER MASCOTAS sede Oeste El Peñon,petshop,"Cali, Valle del Cauca","Cl. 2 Oe. #1- 05, Normandia Sebastian de Belalcazar, Cali, Valle del Cauca",602) 8926515,3.4598466,-76.6048284,"https://www.google.com/maps/place/Pets+%26+Pets+Ciudad+Jard%C3%ADn/@3.4598466,-76.6048284,13z/data=!3m1!5s0x8e30a19c267d2191:0x52710209b4713418!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a1821e27b18d:0xe950abdeafab7a67!8m2!3d3.3617768!4d-76.5317996!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEeZW1lcmdlbmN5X3ZldGVyaW5hcmlhbl9zZXJ2aWNlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIwNVZWZHROVXhPYXpWVlVucFJOVTlXVmxwV01WVjVXV3hXY1UxRlJSQULgAQD6AQQIABBI!16s%2Fg%2F11pg_pt1c3?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:10
WohlPet - Club y Tienda Virtual de Mascotas,petshop,"Cali, Valle del Cauca","Puerta con Reja Negra, Cl. 14 #54 - 62 Casa Primer Piso, 1 de Mayo, Cali, Valle del Cauca",316 5292737,3.3628559,-76.6039076,"https://www.google.com/maps/place/SUPER+MASCOTAS+sede+Oeste+El+Pe%C3%B1on/@3.3628559,-76.6039076,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a678fdcfa5e7:0xfd85f4848476eaf2!8m2!3d3.4512899!4d-76.5414685!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VONGIzQmxVMGRCRUFF4AEA-gEECAAQOw!16s%2Fg%2F1pyqp1qm0?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:11
ANIMALARIO CALI,petshop,"Cali, Valle del Cauca","Tv. 25 #27a31, Comuna 8, Cali, Valle del Cauca",602) 6606623,3.4512899,-76.6135663,"https://www.google.com/maps/place/WohlPet+-+Club+y+Tienda+Virtual+de+Mascotas/@3.4512899,-76.6135663,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a757cbcc4fd3:0x1a62a7e516d7aeb2!8m2!3d3.4043957!4d-76.5313712!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMVdSMDF1VWxwUFdGcFhZbXh3UkdFd2RFaFNhMHBPVkZka2NrMUlZeEFC4AEA-gEECAAQOQ!16s%2Fg%2F11fs6v2wbg?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:12
La Mascotería Cali,petshop,"Cali, Valle del Cauca","Carrera 3 Oeste #4-16, COMUNA 3, Cali, Valle del Cauca",311 3292947,3.4512899,-76.6135663,"https://www.google.com/maps/place/ANIMALARIO+CALI/@3.4512899,-76.6135663,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a77c6010645b:0x48b16d85f0877b9!8m2!3d3.437658!4d-76.517646!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEJcGV0X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0zWjNWaFQzVlJSUkFC4AEA-gEECAAQNg!16s%2Fg%2F11hdj5ftv1?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:14
Supertienda de mascotas Aristi,petshop,"Cali, Valle del Cauca","Cra. 5 Nte. #46AN-45, COMUNA 4, Cali, Valle del Cauca",304 5774885,3.4512899,-76.6135663,"https://www.google.com/maps/place/La+Mascoter%C3%ADa+Cali/@3.4512899,-76.6135663,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a796b26c4f51:0x67f68e5d2ade40f9!8m2!3d3.450287!4d-76.5438482!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VONE1rbExUMUZSRUFF4AEA-gEECAAQNQ!16s%2Fg%2F11rsswxsg9?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:16
CALI MASCOTAS,petshop,"Cali, Valle del Cauca","Cl. 44 #16 27, Nueva Floresta, Cali, Valle del Cauca",318 2005649,3.4512899,-76.6135663,"https://www.google.com/maps/place/Supertienda+de+mascotas+Aristi/@3.4512899,-76.6135663,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a79652f61c77:0xf72b606e326ca001!8m2!3d3.4743697!4d-76.509776!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOYU9HUmZhMWxuRUFF4AEA-gEECAAQQg!16s%2Fg%2F11s4y85v0b?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:17
Multimascotas Del Valle,petshop,"Cali, Valle del Cauca","CENTRO COMERCIAL PASEO DE LA 5TA, Cl. 5 #46-83, Cali, Valle del Cauca",315 3098080,3.4512899,-76.6135663,"https://www.google.com/maps/place/CALI+MASCOTAS/@3.4512899,-76.6135663,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a7fed36c0fd7:0x1a5e8830f42303e4!8m2!3d3.4430189!4d-76.5024113!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNVdlR0pETVVaV1ZHeFdUMWQ0VVU0eFdsbFNNMXBNV1ZjMWNGSldSUkFC4AEA-gEECAAQMw!16s%2Fg%2F11t4ty3btt?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:18
Pet Shop Firulais,petshop,"Cali, Valle del Cauca","Cra. 2a 1 #59d-29 59d-29, Comuna 5, Cali, Valle del Cauca",316 5302255,3.4430189,-76.5745091,"https://www.google.com/maps/place/Multimascotas+Del+Valle/@3.4430189,-76.5745091,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a73c2594605d:0x1545f8226b3eef84!8m2!3d3.4185512!4d-76.5484294!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEJcGV0X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJsZWs5RExYWkJSUkFC4AEA-gEECAAQMg!16s%2Fg%2F11rc2kyfcd?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:18
Pet Market CLÍNICA VETERINARIA,petshop,"Cali, Valle del Cauca","Cra. 5 #52-27, Comuna 5, Cali, Valle del Cauca",314 6752225,3.4185512,-76.6205272,"https://www.google.com/maps/place/Pet+Shop+Firulais/@3.4185512,-76.6205272,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a7cf02a615e9:0x7e3980d01a1642d4!8m2!3d3.4697039!4d-76.4937944!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSUU0wNUhUREpCUlJBQuABAPoBBAgPED0!16s%2Fg%2F11hbl0_ssf?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:20
"Reino Animal Alameda Cali - Aves, peces , conejos",petshop,"Cali, Valle del Cauca","Cl. 9 #23A - 78, La Alameda, Cali, Valle del Cauca",315 5887843,3.4630981,-76.5722549,"https://www.google.com/maps/place/Pet+Market+CL%C3%8DNICA+VETERINARIA/@3.4630981,-76.5722549,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a7ca824d31a5:0xd1f9970e26cabe18!8m2!3d3.4630981!4d-76.5001571!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5MZG1KSFgzQkJSUkFC4AEA-gEECAAQSg!16s%2Fg%2F1z449zfsm?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:22
Zoomarpets,petshop,"Cali, Valle del Cauca","Avenida 6 Norte No. 28N-75, Cali, Valle del Cauca",310 4964527,3.4630981,-76.5722549,"https://www.google.com/maps/place/Reino+Animal+Alameda+Cali+-+Aves,+peces+,+conejos/@3.4630981,-76.5722549,13z/data=!4m10!1m2!2m1!1spetshop+Cali,+Valle+del+Cauca!3m6!1s0x8e30a68fb476f053:0x8b50e8bd2e91a1f2!8m2!3d3.4355111!4d-76.534695!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOb2VtOVVSM0ZuUlJBQuABAPoBBAgAEC0!16s%2Fg%2F11dymnr58j?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:23
