nombre,busqueda,direccion,telefono,latitud,longitud,url_actual,hora_extraccion
Mister Mascotas,veterinarias colombia,"Cra. 19A #74 A 31, Manizales, Caldas",314 8152207,5.0623308,-75.5025013,"https://www.google.com/maps/place/Santa+Monica+veterinaria+y+guarder%C3%ADa+campestre/@5.0623308,-75.5025013,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476599f77a88d1:0x574c902675dbe30e!8m2!3d5.0492786!4d-75.4794584!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4xTm1Rek1VVjNFQUXgAQD6AQQIABAg!16s%2Fg%2F11hzhfz5h3?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:03
Conejos Manizales,veterinarias colombia,"Calle 65 No 31-85, Fatima, Cl. 65, Manizales, Caldas",301 5427637,5.0618356,-75.501105,"https://www.google.com/maps/place/Mister+Mascotas/@5.0618356,-75.501105,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476f87e5c49415:0xcab2fefb32cf36cc!8m2!3d5.0618356!4d-75.4920928!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIwNVdWVjZSbmhpYldSVFZrVkdWbEZYTVZOaWJtUlFWVmhPYTJOSFl4QULgAQD6AQQIfRBA!16s%2Fg%2F11hcn9y21j?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:05
"MoviTeam Vet- Neurología, Ortopedia y Rehabilitación Veterinaria",veterinarias colombia,"Calle 65 No 31-85, Fatima, Cl. 65, Manizales, Caldas",301 5427637,5.0540921,-75.5050913,"https://www.google.com/maps/place/Conejos+Manizales/@5.0540921,-75.5050913,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476549579aa985:0x2b66ad0fbb2e9c3d!8m2!3d5.0540921!4d-75.4960791!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEQcGV0X3N1cHBseV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWFXTklhbmwzUlJBQuABAPoBBAgAEBI!16s%2Fg%2F11q_5gxbz_?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:07
DR. PLAN •Medicina Prepagada Para Mascotas•,veterinarias colombia,"39, 12Th Floor Carrera 23 #62, Manizales, Caldas",320 6372194,5.0540921,-75.5050913,"https://www.google.com/maps/place/Conejos+Manizales/@5.0540921,-75.5050913,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476549579aa985:0x2b66ad0fbb2e9c3d!8m2!3d5.0540921!4d-75.4960791!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEQcGV0X3N1cHBseV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWFXTklhbmwzUlJBQuABAPoBBAgAEBI!16s%2Fg%2F11q_5gxbz_?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:09
Mascotik's CV,veterinarias colombia,"Cra. 1 #71-13, Villamaría, Caldas",322 3192662,5.0540921,-75.5050913,"https://www.google.com/maps/place/DR.+PLAN+%E2%80%A2Medicina+Prepagada+Para+Mascotas%E2%80%A2/@5.0540921,-75.5050913,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e4765503eb370ff:0x252798a20cb69346!8m2!3d5.0582851!4d-75.487083!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWGSAQx2ZXRlcmluYXJpYW7gAQA!16s%2Fg%2F11k8p6lspp?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:11
Congreso Veterinario de Colombia,veterinarias colombia,"Cl. 55a #24-28, Manizales, Caldas",300 3392634,5.0321482,-75.4905218,"https://www.google.com/maps/place/Mascotik's+CV/@5.0321482,-75.4905218,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e47650825c3a439:0x35be2af158be9e!8m2!3d5.0321482!4d-75.4815096!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEeZW1lcmdlbmN5X3ZldGVyaW5hcmlhbl9zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJtTVdZeWJuRlJSUkFC4AEA-gEECAAQMw!16s%2Fg%2F11c61l3fmn?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:12
Veterinaria La Roca,veterinarias colombia,"Cl. 12 #4-52, Villamaría, Caldas",305 8642776,5.061328,-75.5027212,"https://www.google.com/maps/place/Centro+de+Est%C3%A9tica+Veterinaria+Sabuesos/@5.061328,-75.5027212,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e4765875ae2b539:0xc19db432b81cd275!8m2!3d5.0600103!4d-75.4742117!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF6YlVsdFh6QkJSUkFC4AEA-gEECAAQLg!16s%2Fg%2F11c2qjy1p6?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:16
Clínica Veterinaria Kivet,veterinarias colombia,"Cl. 12 #4-52, Villamaría, Caldas",319 5306110,5.0600103,-75.4832239,"https://www.google.com/maps/place/Veterinaria+La+Roca/@5.0600103,-75.4832239,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e4765fac4f6d011:0x5935110567a32b2d!8m2!3d5.0435923!4d-75.5105282!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJXTlRacVozaG5SUkFC4AEA-gEECAAQQA!16s%2Fg%2F11mhg6sd85?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:17
CLINICA VETERINARIA MIS AMIGOS LOS ANIMALITOS,veterinarias colombia,"El Palmar, Cra. 31c #42-05, Manizales, Caldas",68904274,5.0618807,-75.5153553,"https://www.google.com/maps/place/Coraz%C3%B3n+Animal/@5.0618807,-75.5153553,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476ff4223fc38b:0xdc7ce8314347713d!8m2!3d5.0618807!4d-75.5063431!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5PTVZsTFJFdEJFQUXgAQD6AQQIABBH!16s%2Fg%2F11c603czfs?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:24
Huellas Centro Veterinario,veterinarias colombia,"a 16-34, Cl. 4 #16-2, Villamaría, Caldas",304 3763170,5.0436091,-75.5297648,"https://www.google.com/maps/place/Huellas+Centro+Veterinario/@5.0436091,-75.5297648,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476f8bf9414467:0xf46481596e8fb28c!8m2!3d5.0657305!4d-75.4991325!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWTE1sa3pOWHByYlVwUWNUaFJSUkFC4AEA-gEECAAQLw!16s%2Fg%2F11c5xsfrcr?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:26
Centro Veterinario Kelpie,veterinarias colombia,"Cra. 22 #48 c -13, Manizales, Caldas",68851081,5.0657305,-75.5081447,"https://www.google.com/maps/place/Huellas+Centro+Veterinario/@5.0657305,-75.5081447,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476f8bf9414467:0xf46481596e8fb28c!8m2!3d5.0657305!4d-75.4991325!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWTE1sa3pOWHByYlVwUWNUaFJSUkFC4AEA-gEECAAQLw!16s%2Fg%2F11c5xsfrcr?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:28
"Concentrados del Centro | Mascotas, Animales de Corral",veterinarias colombia,"Cra. 22 #48 c -13, Manizales, Caldas",606) 8852616,5.0657305,-75.5081447,"https://www.google.com/maps/place/Huellas+Centro+Veterinario/@5.0657305,-75.5081447,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476f8bf9414467:0xf46481596e8fb28c!8m2!3d5.0657305!4d-75.4991325!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWTE1sa3pOWHByYlVwUWNUaFJSUkFC4AEA-gEECAAQLw!16s%2Fg%2F11c5xsfrcr?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:29
Plataforma de Servicios Veterinarios,veterinarias colombia,"Villa del Rio, Av. Kevin Ángel #56-120, Manizales, Caldas",312 2027962,5.065795,-75.5002783,"https://www.google.com/maps/place/Concentrados+del+Centro+%7C+Mascotas,+Animales+de+Corral/@5.065795,-75.5002783,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476f860b561323:0x9958d6068ddb516!8m2!3d5.065795!4d-75.4912661!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEKZmVlZF9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONmREVllNbTFCUlJBQuABAPoBBAgAECM!16s%2Fg%2F11c60frtpl?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:32
PETS CLUB MANIZALES,veterinarias colombia,"Cl. 55b #24-30, Manizales, Caldas",312 2027962,5.065795,-75.5002783,"https://www.google.com/maps/place/Plataforma+de+Servicios+Veterinarios/@5.065795,-75.5002783,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476f88025deec3:0xccd6228440492c08!8m2!3d5.060989!4d-75.4932358!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU55TFRSbE1tbG5SUkFC4AEA-gEECAAQFA!16s%2Fg%2F11bvcvjsmv?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:33
El Rebaño S.A.S.,veterinarias colombia,"Centro Comercial Mall Plaza, Carrera 14, Av. Kevin Ángel ##55D – 251, Manizales, Caldas",318 6742971,5.065795,-75.5002783,"https://www.google.com/maps/place/PETS+CLUB+MANIZALES/@5.065795,-75.5002783,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e476f2d4e8b9317:0x7d196209ea933f75!8m2!3d5.0656021!4d-75.4898061!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVFeGxSbGQzRUFF4AEA-gEECAAQSg!16s%2Fg%2F11q1h9f3sv?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:35
Veterinaria Mundo Animal,veterinarias colombia,"Cl. 71 #20a-14, Manizales, Caldas",301 5125589,5.0522004,-75.4909832,"https://www.google.com/maps/place/El+Reba%C3%B1o+S.A.S./@5.0522004,-75.4909832,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e47656d3426e001:0x79dc725ad39f6a42!8m2!3d5.0522004!4d-75.481971!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEKZmVlZF9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VObExVeHlRVlZSRUFF4AEA-gEFCIUBEEg!16s%2Fg%2F11jrk76bzr?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:38
Zoo Centro Veterinario,veterinarias colombia,"Cl. 71 #20a-14, Manizales, Caldas",301 5125589,5.0522004,-75.4909832,"https://www.google.com/maps/place/El+Reba%C3%B1o+S.A.S./@5.0522004,-75.4909832,16z/data=!4m11!1m3!2m2!1sveterinarias+colombia!6e6!3m6!1s0x8e47656d3426e001:0x79dc725ad39f6a42!8m2!3d5.0522004!4d-75.481971!15sChV2ZXRlcmluYXJpYXMgY29sb21iaWFaFyIVdmV0ZXJpbmFyaWFzIGNvbG9tYmlhkgEKZmVlZF9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VObExVeHlRVlZSRUFF4AEA-gEFCIUBEEg!16s%2Fg%2F11jrk76bzr?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",2026-04-14 17:21:39
